eta,max_depth,subsample,colsample_bytree,min_child_weight,reg_lambda,avg_top1,avg_ndcg1,avg_best_iter
0.1,6,0.8,0.8,5.0,1.0,0.7761904761904763,0.9130952380547699,13
0.1,8,0.8,1.0,1.0,1.0,0.7761904761904763,0.9059523809085868,10
0.05,8,0.8,1.0,5.0,1.0,0.7761904761904763,0.9058035713847078,6
0.1,6,1.0,0.8,1.0,1.0,0.7761904761904763,0.9044642856697983,7
0.1,4,0.8,0.8,5.0,5.0,0.7761904761904763,0.8888392856625223,11
0.1,6,0.8,0.8,5.0,5.0,0.7761904761904763,0.8888392856625223,10
0.05,4,1.0,1.0,1.0,1.0,0.7761904761904763,0.8819940475640969,8
0.05,4,0.8,1.0,1.0,1.0,0.7761904761904763,0.8747023808940348,11
0.05,8,1.0,0.8,1.0,1.0,0.7761904761904763,0.8745535713701559,9
0.05,4,0.8,0.8,5.0,1.0,0.7761904761904762,0.9357142856843502,6
0.1,4,0.8,0.8,5.0,1.0,0.7761904761904762,0.9357142856843502,11
0.1,8,0.8,1.0,5.0,1.0,0.7761904761904762,0.9226190475830144,3
0.05,8,0.8,0.8,1.0,1.0,0.7714285714285716,0.8888392856625223,10
0.1,8,0.8,0.8,5.0,1.0,0.7714285714285716,0.8888392856625223,9
0.1,8,0.8,0.8,1.0,1.0,0.7714285714285715,0.9200892856770743,11
0.1,6,0.8,1.0,5.0,1.0,0.7523809523809524,0.9028273809071315,3
0.1,4,1.0,0.8,5.0,1.0,0.7476190476190476,0.9142857142458005,6
0.05,6,0.8,0.8,1.0,1.0,0.7476190476190476,0.8985119047146457,12
0.05,6,1.0,0.8,5.0,5.0,0.7476190476190476,0.8919642856639776,14
0.05,8,1.0,1.0,5.0,5.0,0.7476190476190476,0.8919642856639776,12
0.1,8,1.0,0.8,5.0,5.0,0.7476190476190476,0.8919642856639776,22
0.1,4,0.8,0.8,1.0,1.0,0.7476190476190476,0.8888392856625223,5
0.05,6,1.0,0.8,5.0,1.0,0.7476190476190476,0.8843749999461579,4
0.05,4,1.0,0.8,1.0,1.0,0.7476190476190476,0.8616071427926986,7
0.05,4,1.0,1.0,5.0,5.0,0.7476190476190476,0.8538690475510002,15
0.05,4,1.0,0.8,5.0,1.0,0.7428571428571429,0.9200892856770743,5
0.05,4,1.0,1.0,5.0,1.0,0.7428571428571429,0.9200892856770743,4
0.1,8,1.0,1.0,5.0,1.0,0.7428571428571429,0.9058035713847078,4
0.05,6,1.0,0.8,1.0,1.0,0.7428571428571429,0.9044642856697983,17
0.1,4,1.0,0.8,1.0,1.0,0.7428571428571429,0.8997023809056763,6
0.05,8,0.8,1.0,1.0,1.0,0.7428571428571429,0.8745535713701559,5
0.1,4,1.0,1.0,5.0,1.0,0.7428571428571429,0.8745535713701559,5
0.1,8,1.0,0.8,1.0,1.0,0.7428571428571429,0.8733630951791254,6
0.1,6,1.0,1.0,1.0,1.0,0.7428571428571429,0.866369047556821,7
0.05,6,0.8,1.0,5.0,5.0,0.719047619047619,0.9214285713919838,22
0.1,4,1.0,0.8,5.0,5.0,0.719047619047619,0.8986607142385246,11
0.1,8,1.0,1.0,1.0,1.0,0.719047619047619,0.8985119047146457,5
