eta,max_depth,subsample,colsample_bytree,min_child_weight,reg_lambda,avg_top1,avg_best_iter
0.03,4,0.9,0.8,5.0,1.0,0.8428571428571429,8.4
0.03,4,0.9,0.8,5.0,5.0,0.8761904761904763,41.6
0.03,4,0.9,0.8,5.0,10.0,0.8428571428571429,14.4
0.03,4,0.9,0.9,0.5,1.0,0.8095238095238096,8.0
0.03,4,0.9,0.9,0.5,5.0,0.8095238095238096,11.2
0.03,4,0.9,0.9,0.5,10.0,0.8095238095238096,19.2
0.03,4,0.9,0.9,1.0,1.0,0.8095238095238096,4.6
0.03,4,0.9,0.9,1.0,5.0,0.8095238095238096,17.4
0.03,4,0.9,0.9,1.0,10.0,0.8095238095238096,17.0
0.03,4,0.9,0.9,2.0,1.0,0.8428571428571429,7.0
0.03,4,0.9,0.9,2.0,5.0,0.8380952380952381,12.8
0.03,4,0.9,0.9,2.0,10.0,0.8714285714285716,14.6
0.03,4,0.9,0.9,5.0,1.0,0.8428571428571429,10.2
0.03,4,0.9,0.9,5.0,5.0,0.8428571428571429,28.2
0.03,4,0.9,0.9,5.0,10.0,0.8428571428571429,32.0
0.03,4,0.9,1.0,0.5,1.0,0.8095238095238096,7.4
0.03,4,0.9,1.0,0.5,5.0,0.8095238095238096,8.0
0.03,4,0.9,1.0,0.5,10.0,0.7761904761904763,14.2
0.03,4,0.9,1.0,1.0,1.0,0.8095238095238096,6.0
0.03,4,0.9,1.0,1.0,5.0,0.8095238095238096,11.2
0.03,4,0.9,1.0,1.0,10.0,0.7761904761904763,16.0
0.03,4,0.9,1.0,2.0,1.0,0.8380952380952381,6.4
0.03,4,0.9,1.0,2.0,5.0,0.8428571428571429,10.2
0.03,4,0.9,1.0,2.0,10.0,0.8380952380952381,6.4
0.03,4,0.9,1.0,5.0,1.0,0.8428571428571429,12.6
0.03,4,0.9,1.0,5.0,5.0,0.7761904761904762,16.4
0.03,4,0.9,1.0,5.0,10.0,0.8142857142857143,30.6
