feature,count,non_na,non_na_ratio,n_unique,mean,std,min,p25,median,p75,max,zero_frac,pos_frac,neg_frac,finite_frac,between_group_var_ratio,within_group_std_mean
avg_step_time,10,10,1.0,10,0.09229554093750257,0.032708471771695155,0.0600154218750166,0.06719334062501217,0.0782409906250016,0.10518233437503352,0.1556989624999687,0.0,1.0,0.0,1.0,0.008069453847466495,0.03254971148976812
step_time_mean,10,10,1.0,10,0.09229554093750257,0.032708471771695155,0.0600154218750166,0.06719334062501217,0.0782409906250016,0.10518233437503352,0.1556989624999687,0.0,1.0,0.0,1.0,0.008069453847466495,0.03254971148976812
throughput_var_ratio,10,10,1.0,10,0.06334477537629177,0.03214353633957793,0.0234104058598916,0.039741686698963274,0.0540356909721783,0.09154340351010365,0.1187795388853532,0.0,1.0,0.0,1.0,0.013646397779140871,0.03173405145576207
step_time_std,10,10,1.0,10,0.06348271976069335,0.021988685661695255,0.0293132772026363,0.046808553395956146,0.060401725611095705,0.07616074367859427,0.0991001178561383,0.0,1.0,0.0,1.0,0.022527528539780173,0.02167928382972201
step_time_slope,10,10,1.0,10,-0.0083797859763859,0.01121041230142277,-0.0304216666666764,-0.0089529436029322,-0.0021736686033724502,-0.0007137887190936251,-0.0001934868447859,0.0,0.0,1.0,1.0,0.00019691287010050062,0.011207749749846316
gpu_util_slope,10,10,1.0,10,0.03380768780738134,0.006136586894396532,0.0192723654997865,0.032022998387187473,0.0361542765014745,0.0372978239673514,0.0422194777699364,0.0,1.0,0.0,1.0,0.029264977411178606,0.005968962313969985
mem_util_slope,10,10,1.0,10,0.00618147243788585,0.003502600189200732,0.0018429846016052,0.003906609111748725,0.00598218854128565,0.006764252578437125,0.0130066772172978,0.0,1.0,0.0,1.0,0.0038405012270053677,0.0034889880470563082
power_slope,10,10,1.0,10,0.0104689756192415,0.0028375836262682394,0.0058602967810143,0.008377306702956526,0.010121826685340951,0.012592620887248024,0.0151288583497373,0.0,1.0,0.0,1.0,0.12145844286609887,0.0026004734374421284
temp_slope,10,10,1.0,10,0.00395028029371178,0.0012228703532892163,0.0016353166709763,0.003450657971636225,0.0037880128706065,0.00431913991041505,0.0066495944075724,0.0,1.0,0.0,1.0,0.19380885644853746,0.0010975606392017506
epochs,10,10,1.0,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,,
vram_total_mb,10,10,1.0,1,8188.0,0.0,8188.0,8188.0,8188.0,8188.0,8188.0,0.0,1.0,0.0,1.0,,
