model,epochs,batch,115W,65W
yolo11x.pt,5,27,27.29163486571108,26.154002315963517
yolo11x.pt,5,28,27.16203174853894,26.068123714602127
yolo11x.pt,5,29,27.211314212874264,25.921355715177953
yolo11x.pt,5,30,27.223552220331232,26.064436495673775
yolo11x.pt,5,31,26.39958979833925,25.737988971641347
yolo11x.pt,5,32,26.618846696513206,25.433279109142997
yolo11x.pt,10,18,36.39176442577035,33.109805356730554
yolo11x.pt,10,19,33.44269975389669,32.79703518837261
yolo11x.pt,10,20,31.26165670232856,32.25910087719292
yolo11x.pt,10,21,29.875287946428568,31.18914949292611
yolo11x.pt,10,22,29.133494299876197,30.06845975443382
yolo11x.pt,10,23,28.536353785900598,29.295496152154957
yolo11x.pt,10,24,28.583554297694096,29.02206898727495
yolo11x.pt,10,25,28.01531542987282,28.726278999172088
yolo11x.pt,10,26,27.842062364985477,28.66711617440231
yolo11x.pt,10,27,27.58809638451705,28.39011402337218
yolo11x.pt,10,28,27.71059780021338,28.54740740740755
yolo11x.pt,10,29,27.757581615190215,27.91583631427676
yolo11x.pt,10,30,27.831772999589642,27.757167433011073
yolo11x.pt,10,31,27.425556659744846,27.415586647419484
yolo11x.pt,10,32,27.29175537906123,27.212771276217538
yolo11x.pt,20,17,38.913857414750254,34.206573604060964
yolo11x.pt,20,18,35.35892392710174,32.143946769333645
yolo11x.pt,20,19,32.7137342899557,31.804696062991997
yolo11x.pt,20,20,31.52318256496206,30.42494004404917
yolo11x.pt,20,21,30.19818056485067,29.09443411142252
yolo11x.pt,20,22,29.1898633482475,29.270980548628362
yolo11x.pt,20,23,28.792971607233397,29.362632920735994
yolo11x.pt,20,24,28.46579798085472,28.910232224259754
yolo11x.pt,20,25,28.299180668687292,28.246571963514327
yolo11x.pt,20,26,28.233359847636073,27.988688219544862
yolo11x.pt,20,27,28.00022354642238,27.86340436654384
yolo11x.pt,20,28,27.771683515408586,27.709175363383977
yolo11x.pt,20,29,27.703400904047612,27.70559127495153
yolo11x.pt,20,30,27.60393260801499,28.368105518138062
yolo11x.pt,20,31,27.37236913921856,28.30873981746876
yolo11x.pt,20,32,27.195511275773196,26.138235057037082
