T,P,M,D,features,top1_mean,top1_std,ndcg1_mean,ndcg1_std,best_iter_mean
0.3,0.5,0.2,0.05,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img|is65W,0.6,0.22607766610417562,0.94998778998779,0.10002442002442001,1.0
0.3,0.5,0.2,0.1,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img|is65W,0.6,0.22607766610417562,0.94998778998779,0.10002442002442001,1.0
0.3,0.5,0.2,0.2,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img|is65W,0.6,0.22607766610417562,0.94998778998779,0.10002442002442001,1.0
0.5,0.1,0.2,0.05,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img|is65W,0.6,0.22607766610417562,0.94998778998779,0.10002442002442001,1.0
0.5,0.1,0.2,0.1,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img|is65W,0.6,0.22607766610417562,0.94998778998779,0.10002442002442001,1.0
0.5,0.1,0.2,0.2,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img|is65W,0.6,0.22607766610417562,0.94998778998779,0.10002442002442001,1.0
0.5,0.3,0.2,0.05,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img|is65W,0.6,0.22607766610417562,0.94998778998779,0.10002442002442001,1.0
0.5,0.3,0.2,0.1,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img|is65W,0.6,0.22607766610417562,0.94998778998779,0.10002442002442001,1.0
0.5,0.3,0.2,0.2,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img|is65W,0.6,0.22607766610417562,0.94998778998779,0.10002442002442001,1.0
0.5,0.5,0.2,0.05,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img|is65W,0.6,0.22607766610417562,0.94998778998779,0.10002442002442001,1.0
0.5,0.5,0.2,0.1,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img|is65W,0.6,0.22607766610417562,0.94998778998779,0.10002442002442001,1.0
0.5,0.5,0.2,0.2,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img|is65W,0.6,0.22607766610417562,0.94998778998779,0.10002442002442001,1.0
0.7,0.1,0.2,0.05,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img|is65W,0.6,0.22607766610417562,0.94998778998779,0.10002442002442001,1.0
0.7,0.1,0.2,0.1,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img|is65W,0.6,0.22607766610417562,0.94998778998779,0.10002442002442001,1.0
0.7,0.1,0.2,0.2,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img|is65W,0.6,0.22607766610417562,0.94998778998779,0.10002442002442001,1.0
0.7,0.3,0.2,0.05,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img|is65W,0.6,0.22607766610417562,0.94998778998779,0.10002442002442001,1.0
0.7,0.3,0.2,0.1,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img|is65W,0.6,0.22607766610417562,0.94998778998779,0.10002442002442001,1.0
0.7,0.3,0.2,0.2,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img|is65W,0.6,0.22607766610417562,0.94998778998779,0.10002442002442001,1.0
0.7,0.5,0.2,0.05,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img|is65W,0.6,0.22607766610417562,0.94998778998779,0.10002442002442001,1.0
0.7,0.5,0.2,0.1,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img|is65W,0.6,0.22607766610417562,0.94998778998779,0.10002442002442001,1.0
0.7,0.5,0.2,0.2,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img|is65W,0.6,0.22607766610417562,0.94998778998779,0.10002442002442001,1.0
0.3,0.1,0.05,0.05,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img|is65W,0.6,0.22607766610417562,0.8870910366973359,0.1396065243386905,1.0
0.3,0.1,0.05,0.1,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img|is65W,0.6,0.22607766610417562,0.8870910366973359,0.1396065243386905,1.0
0.5,0.5,0.05,0.05,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img|is65W,0.5,0.25819888974716115,0.8829884725947718,0.1455870940913389,1.2
0.5,0.5,0.05,0.1,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img|is65W,0.5,0.25819888974716115,0.8829884725947718,0.1455870940913389,1.2
0.5,0.5,0.05,0.2,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img|is65W,0.5,0.25819888974716115,0.8829884725947718,0.1455870940913389,1.2
0.7,0.1,0.1,0.05,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img|is65W,0.4333333333333333,0.24944382578492943,0.9163919894628556,0.10563709287037228,5.4
0.7,0.1,0.1,0.1,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img|is65W,0.4333333333333333,0.24944382578492943,0.9163919894628556,0.10563709287037228,5.4
0.7,0.1,0.1,0.2,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img|is65W,0.4333333333333333,0.24944382578492943,0.9163919894628556,0.10563709287037228,5.4
0.7,0.1,0.05,0.05,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img|is65W,0.2,0.2666666666666667,0.8578536657276814,0.12305150806703932,1.6
0.7,0.1,0.05,0.1,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img|is65W,0.2,0.2666666666666667,0.8578536657276814,0.12305150806703932,1.6
0.7,0.1,0.05,0.2,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img|is65W,0.2,0.2666666666666667,0.8578536657276814,0.12305150806703932,1.6
0.7,0.3,0.05,0.05,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img|is65W,0.2,0.2666666666666667,0.8578536657276814,0.12305150806703932,1.6
0.7,0.3,0.05,0.1,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img|is65W,0.2,0.2666666666666667,0.8578536657276814,0.12305150806703932,1.6
0.7,0.3,0.05,0.2,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img|is65W,0.2,0.2666666666666667,0.8578536657276814,0.12305150806703932,1.6
0.7,0.5,0.05,0.05,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img|is65W,0.2,0.2666666666666667,0.8578536657276814,0.12305150806703932,1.6
0.7,0.5,0.05,0.1,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img|is65W,0.2,0.2666666666666667,0.8578536657276814,0.12305150806703932,1.6
0.7,0.5,0.05,0.2,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img|is65W,0.2,0.2666666666666667,0.8578536657276814,0.12305150806703932,1.6
