file,timestamp,country,energy_kwh,co2_g,model,batch,epochs,tag
yolo11m_b16_e5_run1_20250727-141452.json,2025-07-27T14:14:52+08:00,CN,7.867088478127082e-05,0.03870607531238524,yolo11m.pt,16,5,65W
yolo11m_b16_e5_run2_20250727-122259.json,2025-07-27T12:22:59+08:00,CN,8.264909172678119e-05,0.04066335312957634,yolo11m.pt,16,5,115W
yolo11m_b16_e5_run2_20250727-141529.json,2025-07-27T14:15:29+08:00,CN,7.540313302078609e-05,0.03709834144622676,yolo11m.pt,16,5,65W
yolo11m_b17_e10_run1_20250727-213348.json,2025-07-27T21:33:48+08:00,CN,0.00018297545342997953,0.09002392308754993,yolo11m.pt,17,10,115W
yolo11m_b17_e10_run1_20250730-020145.json,2025-07-30T02:01:45+08:00,CN,0.00016157414253730978,0.07949447812835642,yolo11m.pt,17,10,65W
yolo11m_b17_e1_run1_20250727-205203.json,2025-07-27T20:52:03+08:00,CN,1.256058759521855e-05,0.006179809096847527,yolo11m.pt,17,1,115W
yolo11m_b17_e1_run1_20250730-011119.json,2025-07-30T01:11:19+08:00,CN,1.2758747173135698e-05,0.006277303609182764,yolo11m.pt,17,1,65W
yolo11m_b17_e20_run1_20250727-221242.json,2025-07-27T22:12:42+08:00,CN,0.00041760256882301445,0.20546046386092312,yolo11m.pt,17,20,115W
yolo11m_b17_e20_run1_20250730-024833.json,2025-07-30T02:48:33+08:00,CN,0.0003529340321908528,0.17364354383789957,yolo11m.pt,17,20,65W
yolo11m_b17_e5_run1_20250727-210853.json,2025-07-27T21:08:53+08:00,CN,8.356038757189074e-05,0.04111171068537024,yolo11m.pt,17,5,115W
yolo11m_b17_e5_run1_20250730-013216.json,2025-07-30T01:32:16+08:00,CN,7.552316183974393e-05,0.037157395625154015,yolo11m.pt,17,5,65W
yolo11m_b18_e10_run1_20250727-213450.json,2025-07-27T21:34:50+08:00,CN,0.00018646688514573214,0.09174170749170021,yolo11m.pt,18,10,115W
yolo11m_b18_e10_run1_20250730-020300.json,2025-07-30T02:03:00+08:00,CN,0.00015932723217777558,0.07838899823146558,yolo11m.pt,18,10,65W
yolo11m_b18_e1_run1_20250727-205232.json,2025-07-27T20:52:32+08:00,CN,1.2471801348687609e-05,0.006136126263554304,yolo11m.pt,18,1,115W
yolo11m_b18_e1_run1_20250730-011156.json,2025-07-30T01:11:56+08:00,CN,1.2659255175009539e-05,0.006228353546104693,yolo11m.pt,18,1,65W
yolo11m_b18_e20_run1_20250727-221416.json,2025-07-27T22:14:16+08:00,CN,0.00041333642785355867,0.20336152250395087,yolo11m.pt,18,20,115W
yolo11m_b18_e20_run1_20250730-025025.json,2025-07-30T02:50:25+08:00,CN,0.00036461610863279645,0.17939112544733585,yolo11m.pt,18,20,65W
yolo11m_b18_e5_run1_20250727-210934.json,2025-07-27T21:09:34+08:00,CN,8.533421952705886e-05,0.04198443600731296,yolo11m.pt,18,5,115W
yolo11m_b18_e5_run1_20250730-013307.json,2025-07-30T01:33:07+08:00,CN,7.504265760943062e-05,0.036920987543839864,yolo11m.pt,18,5,65W
yolo11m_b19_e10_run1_20250727-213552.json,2025-07-27T21:35:52+08:00,CN,0.0001776257838394461,0.08739188564900748,yolo11m.pt,19,10,115W
yolo11m_b19_e10_run1_20250730-020413.json,2025-07-30T02:04:13+08:00,CN,0.0001569255985564963,0.07720739448979619,yolo11m.pt,19,10,65W
yolo11m_b19_e1_run1_20250727-205302.json,2025-07-27T20:53:02+08:00,CN,1.2710218967762002e-05,0.006253427732138905,yolo11m.pt,19,1,115W
yolo11m_b19_e1_run1_20250730-011233.json,2025-07-30T01:12:33+08:00,CN,1.2358132863750876e-05,0.006080201368965431,yolo11m.pt,19,1,65W
yolo11m_b19_e20_run1_20250727-221549.json,2025-07-27T22:15:49+08:00,CN,0.0004170702329836267,0.20519855462794434,yolo11m.pt,19,20,115W
yolo11m_b19_e20_run1_20250730-025215.json,2025-07-30T02:52:15+08:00,CN,0.00035660175669160554,0.17544806429226992,yolo11m.pt,19,20,65W
yolo11m_b19_e5_run1_20250727-211014.json,2025-07-27T21:10:14+08:00,CN,8.090608213464419e-05,0.03980579241024494,yolo11m.pt,19,5,115W
yolo11m_b19_e5_run1_20250730-013358.json,2025-07-30T01:33:58+08:00,CN,7.490625776874591e-05,0.03685387882222299,yolo11m.pt,19,5,65W
yolo11m_b1_e10_run1_20250726-153338.json,2025-07-26T15:33:38+08:00,CN,0.0006875304305490753,0.3382649718301451,yolo11m.pt,1,10,115W
yolo11m_b1_e10_run1_20250726-164935.json,2025-07-26T16:49:35+08:00,CN,0.0006704440702626792,0.32985848256923817,yolo11m.pt,1,10,65W
yolo11m_b1_e10_run1_20250727-122710.json,2025-07-27T12:27:10+08:00,CN,0.0006423470674193925,0.3160347571703411,yolo11m.pt,1,10,115W
yolo11m_b1_e10_run1_20250727-141931.json,2025-07-27T14:19:31+08:00,CN,0.0006658562987097527,0.32760129896519835,yolo11m.pt,1,10,65W
yolo11m_b1_e10_run2_20250726-153602.json,2025-07-26T15:36:02+08:00,CN,0.0006636711363301199,0.326526199074419,yolo11m.pt,1,10,115W
yolo11m_b1_e10_run2_20250726-165209.json,2025-07-26T16:52:09+08:00,CN,0.0006747786029201265,0.33199107263670224,yolo11m.pt,1,10,65W
yolo11m_b1_e10_run2_20250727-122925.json,2025-07-27T12:29:25+08:00,CN,0.0006670824028849506,0.3282045422193957,yolo11m.pt,1,10,115W
yolo11m_b1_e10_run2_20250727-142202.json,2025-07-27T14:22:02+08:00,CN,0.0006839573617714206,0.3365070219915389,yolo11m.pt,1,10,65W
yolo11m_b1_e1_run1_20250726-152804.json,2025-07-26T15:28:04+08:00,CN,5.888319326493612e-05,0.028970531086348568,yolo11m.pt,1,1,115W
yolo11m_b1_e1_run1_20250726-164319.json,2025-07-26T16:43:19+08:00,CN,5.733986999109714e-05,0.028211216035619793,yolo11m.pt,1,1,65W
yolo11m_b1_e1_run1_20250727-121431.json,2025-07-27T12:14:31+08:00,CN,5.8706208525034686e-05,0.028883454594317067,yolo11m.pt,1,1,115W
yolo11m_b1_e1_run1_20250727-140611.json,2025-07-27T14:06:11+08:00,CN,5.9594057258435934e-05,0.02932027617115048,yolo11m.pt,1,1,65W
yolo11m_b1_e1_run2_20250726-152836.json,2025-07-26T15:28:36+08:00,CN,5.704277265227864e-05,0.02806504414492109,yolo11m.pt,1,1,115W
yolo11m_b1_e1_run2_20250726-164355.json,2025-07-26T16:43:55+08:00,CN,5.7584820803830295e-05,0.028331731835484507,yolo11m.pt,1,1,65W
yolo11m_b1_e1_run2_20250727-121503.json,2025-07-27T12:15:03+08:00,CN,5.6875029706913755e-05,0.027982514615801566,yolo11m.pt,1,1,115W
yolo11m_b1_e1_run2_20250727-140646.json,2025-07-27T14:06:46+08:00,CN,5.73804184537647e-05,0.028231165879252233,yolo11m.pt,1,1,65W
yolo11m_b1_e20_run1_20250727-124018.json,2025-07-27T12:40:18+08:00,CN,0.0013488270871779755,0.663622926891564,yolo11m.pt,1,20,115W
yolo11m_b1_e20_run1_20250727-143323.json,2025-07-27T14:33:23+08:00,CN,0.0013978628455220531,0.6877485199968502,yolo11m.pt,1,20,65W
yolo11m_b1_e20_run2_20250727-124428.json,2025-07-27T12:44:28+08:00,CN,0.001353095930862598,0.6657231979843983,yolo11m.pt,1,20,115W
yolo11m_b1_e20_run2_20250727-143801.json,2025-07-27T14:38:01+08:00,CN,0.001413854776713659,0.6956165501431203,yolo11m.pt,1,20,65W
yolo11m_b1_e5_run1_20250727-121906.json,2025-07-27T12:19:06+08:00,CN,0.00031050334019169513,0.152767643374314,yolo11m.pt,1,5,115W
yolo11m_b1_e5_run1_20250727-141116.json,2025-07-27T14:11:16+08:00,CN,0.00033269745297439694,0.1636871468634033,yolo11m.pt,1,5,65W
yolo11m_b1_e5_run2_20250727-122023.json,2025-07-27T12:20:23+08:00,CN,0.00032717971691950356,0.16097242072439574,yolo11m.pt,1,5,115W
yolo11m_b1_e5_run2_20250727-141239.json,2025-07-27T14:12:39+08:00,CN,0.00033095865847983594,0.16283165997207927,yolo11m.pt,1,5,65W
yolo11m_b20_e10_run1_20250727-213653.json,2025-07-27T21:36:53+08:00,CN,0.0001785608036312956,0.08785191538659744,yolo11m.pt,20,10,115W
yolo11m_b20_e10_run1_20250730-020527.json,2025-07-30T02:05:27+08:00,CN,0.00015684335606433366,0.07716693118365216,yolo11m.pt,20,10,65W
yolo11m_b20_e1_run1_20250727-205331.json,2025-07-27T20:53:31+08:00,CN,1.2114617047165064e-05,0.005960391587205211,yolo11m.pt,20,1,115W
yolo11m_b20_e1_run1_20250730-011310.json,2025-07-30T01:13:10+08:00,CN,1.1760367474766453e-05,0.005786100797585095,yolo11m.pt,20,1,65W
yolo11m_b20_e20_run1_20250727-221725.json,2025-07-27T22:17:25+08:00,CN,0.0004067759852116904,0.20013378472415166,yolo11m.pt,20,20,115W
