eta,max_depth,subsample,colsample_bytree,min_child_weight,reg_lambda,avg_top1,avg_ndcg1,avg_best_iter
0.05,4,0.8,0.8,5.0,1.0,0.738095238095238,0.9190476189944008,8
0.1,6,0.8,0.8,1.0,5.0,0.719047619047619,0.8588541665778999,7
0.1,8,1.0,1.0,5.0,5.0,0.7142857142857143,0.8940476189905201,14
0.1,6,0.8,1.0,5.0,1.0,0.7142857142857143,0.8825892856518511,3
0.05,6,0.8,1.0,5.0,5.0,0.7142857142857143,0.8802827379776448,10
0.05,6,0.8,0.8,1.0,1.0,0.7142857142857143,0.8589285713434773,10
0.1,4,1.0,1.0,1.0,1.0,0.7142857142857142,0.8839285713667604,2
0.1,6,0.8,1.0,1.0,5.0,0.7142857142857142,0.8839285713667604,7
0.05,6,0.8,0.8,1.0,5.0,0.7142857142857142,0.875595238017905,14
0.1,4,0.8,1.0,1.0,5.0,0.7142857142857142,0.875595238017905,3
0.05,8,0.8,0.8,1.0,5.0,0.7142857142857142,0.8594494046695347,7
0.1,6,1.0,1.0,5.0,1.0,0.7095238095238096,0.8726190475519703,4
0.1,8,1.0,0.8,5.0,5.0,0.7095238095238096,0.8690476189788786,19
0.1,6,1.0,1.0,1.0,5.0,0.7095238095238096,0.8677827380183901,14
0.05,4,1.0,1.0,5.0,1.0,0.7095238095238094,0.9190476189944008,6
0.05,8,0.8,0.8,5.0,1.0,0.7095238095238094,0.9130952363506711,3
0.05,8,1.0,0.8,1.0,1.0,0.7095238095238094,0.9107142856649478,6
0.1,6,0.8,0.8,1.0,1.0,0.7095238095238094,0.9107142856649478,10
0.05,6,1.0,0.8,1.0,1.0,0.7095238095238094,0.9107142856571867,4
0.1,8,0.8,0.8,1.0,1.0,0.7095238095238094,0.9023809523160924,12
0.1,8,0.8,1.0,1.0,1.0,0.7095238095238094,0.900595238041188,13
0.05,8,1.0,1.0,5.0,5.0,0.7095238095238094,0.8976190475636118,14
