eta,max_depth,subsample,colsample_bytree,min_child_weight,reg_lambda,avg_top1,avg_ndcg1,avg_best_iter
0.03,8,0.9,0.9,0.5,10.0,0.6523809523809525,0.8520833332644543,12
0.03,4,0.9,1.0,0.5,10.0,0.6523809523809525,0.8520833332644543,7
0.1,6,0.9,0.7,1.0,10.0,0.6523809523809525,0.8505208332637266,10
0.03,6,0.8,0.8,1.0,10.0,0.6523809523809525,0.8306547618259044,10
0.05,8,0.9,0.9,0.5,5.0,0.6523809523809524,0.894047618998281,18
0.05,10,0.9,0.8,0.5,5.0,0.6523809523809524,0.8632440475553658,8
0.05,10,0.7,0.7,0.5,5.0,0.6523809523809524,0.801488095145656,18
0.1,8,0.7,0.8,2.0,5.0,0.6476190476190476,0.9052827380511319,8
0.1,6,0.7,0.9,2.0,10.0,0.6476190476190476,0.8915178570923412,34
0.08,10,0.8,0.8,0.5,10.0,0.6476190476190475,0.8622395832691836,21
0.03,4,0.7,1.0,2.0,10.0,0.6285714285714286,0.8916666666162201,14
0.03,8,1.0,1.0,1.0,5.0,0.6285714285714286,0.8414806546880884,7
0.03,8,1.0,1.0,0.5,5.0,0.6285714285714286,0.8248139880136607,19
0.05,10,0.8,1.0,1.0,5.0,0.6285714285714286,0.8142857141992345,8
0.05,8,0.8,0.9,0.5,10.0,0.6238095238095238,0.8132440475320827,6
0.03,8,0.8,0.9,0.5,5.0,0.6238095238095237,0.846577380880938,10
0.03,6,0.7,0.7,0.5,10.0,0.6190476190476191,0.8624255951740322,17
0.03,8,1.0,1.0,2.0,10.0,0.6,0.8354166665900266,5
0.1,10,1.0,0.8,1.0,10.0,0.5857142857142856,0.8802827380394904,23
0.1,8,0.8,0.7,0.5,10.0,0.557142857142857,0.8228422618222664,4
