json_file,model,batch,epochs,tag,avg_step_time,avg_power,avg_mem,map50,pwr_mean,pwr_std,pwr_max,pwr_min,throughput,energy_per_img
yolo11n_b1_e100_run2_20250722-110519.json,yolo11n.pt,1,100.0,,0.05182271601562418,17.62022243247894,1158.2736685180664,0.6158,17.620222432478926,0.6708784418354066,18.252,13.302,19.296557125614704,0.9131277832504868
yolo11n_b1_e100_run3_20250722-111953.json,yolo11n.pt,1,100.0,,0.051209926898438736,17.7016401739129,1222.3952890014648,0.6158,17.701640173913045,0.6835081854861992,18.618,13.2,19.527463922829533,0.9064996992885459
yolo11n_b1_e100_run4_20250722-113440.json,yolo11n.pt,1,100.0,,0.05198294570312036,17.71659719919984,1214.4462487792969,0.6158,17.71659719919977,0.6803889974923927,19.746,13.247,19.237078362413257,0.9209609102500596
yolo11n_b1_e10_run1_20250721-151335.json,yolo11n.pt,1,10.0,,0.05610222773437386,17.921966213251444,1398.9739013671874,0.46471,17.921966213251427,1.7199561142189497,19.425,13.848,17.824604126857153,1.0054622299435862
yolo11n_b1_e10_run1_20250721-180204.json,yolo11n.pt,1,10.0,,0.05501994749995731,18.05488650580871,1432.8271881103515,0.46471,18.054886505808756,1.681472363652921,19.481,14.295,18.175226357691017,0.9933789076672829
yolo11n_b1_e10_run2_20250721-151523.json,yolo11n.pt,1,10.0,,0.052735655859405026,18.53389844851902,1446.8341796875,0.46471,18.53389844851904,1.6139621266162973,19.621,14.745,18.962502384838686,0.9773972903142598
yolo11n_b1_e10_run2_20250721-180356.json,yolo11n.pt,1,10.0,,0.05599435531257484,18.51712302839112,1481.0939453125,0.46471,18.51712302839117,1.503127368578894,19.675,14.878,17.85894300269632,1.0368543662183942
yolo11n_b1_e10_run3_20250721-151718.json,yolo11n.pt,1,10.0,,0.057167505937474064,18.568271036315316,1512.996664428711,0.46471,18.568271036315323,1.5440498194848744,19.783,14.744,17.492454561402976,1.0615017447171837
yolo11n_b1_e10_run3_20250721-180548.json,yolo11n.pt,1,10.0,,0.05477289062495174,18.650091776465285,1546.931817626953,0.46471,18.650091776465242,1.5873609157089,19.822,14.751,18.257206961146778,1.021519437017645
yolo11n_b1_e10_run4_20250721-180739.json,yolo11n.pt,1,10.0,,0.05465386632809839,18.71612574575489,1545.2740234375,0.46471,18.716125745754933,1.5540370585129568,19.842,14.83,18.296967208079927,1.0229086346883687
yolo11n_b1_e10_run5_20250721-180933.json,yolo11n.pt,1,10.0,,0.05633240312500334,18.697852348993294,1544.8423828125,0.46471,18.697852348993287,1.5577224349874281,19.85,14.916,17.75177241739482,1.0532949560952807
yolo11n_b1_run10_20250719-205838.json,yolo11n.pt,1,,,0.06649175859368484,16.928511265164634,1489.9765625,0.4819,16.928511265164644,1.6567664828864397,19.308,15.411,15.039457838839242,1.1256064843938012
yolo11n_b1_run1_20250719-205426.json,yolo11n.pt,1,,,0.06333446562521772,16.781991554054066,1363.244140625,0.4819,16.781991554054056,1.661648368011461,19.947,14.966,15.789191400421837,1.0628784672029312
