model,epochs,tag,batch,avg_mem,avg_power,avg_step_time,energy_per_img,gpu_util_early_late,gpu_util_max,gpu_util_mean,gpu_util_p95,gpu_util_slope,gpu_util_std,is65W,map50,mem_clock_early_late,mem_clock_max,mem_clock_mean,mem_clock_p95,mem_clock_slope,mem_clock_std,mem_util_early_late,mem_util_max,mem_util_mean,mem_util_p95,mem_util_slope,mem_util_std,power_early_late,power_limit_w,power_peak_to_mean,power_range,power_slope,pwr_max,pwr_mean,pwr_min,pwr_p95,pwr_std,sm_clock_early_late,sm_clock_max,sm_clock_mean,sm_clock_p95,sm_clock_slope,sm_clock_std,step_time_cv,step_time_mean,step_time_p95,step_time_slope,step_time_std,temp_early_late,temp_max,temp_mean,temp_p95,temp_slope,temp_std,thr_mean,thr_p95,thr_std,throughput,throughput_var_ratio,vram_total_mb,n_logs
yolo11m.pt,10,115W,16,4861.238061523438,38.341979164611644,0.20058204187475895,0.48049609218811096,46.888564576277886,91.5,32.15332632984145,89.0,0.05919123096421835,37.83760288500072,0.0,0.83499,0.0,8200.0,8190.7849829351535,8200.0,0.0014490887598302283,73.78410194210159,35.28765796513237,72.5,24.06654303695082,70.5,0.04452906811574705,29.66119936987701,33.142314777234574,115.0,2.1819171159247635,68.316,0.04318084625855695,83.4635,38.34197916461166,15.1475,75.72,23.039311193348595,593.8774098330412,2647.5,2379.711426542248,2647.5,0.7595775855651334,311.29530757234795,0.12985481061564916,0.20058204187475895,0.23193222000008965,-0.0004773897720304,0.02614813603718425,9.467089224768408,83.0,72.22678161599822,82.0,0.01242306528293935,5.786853019557322,80.83939144599344,90.1095353090628,8.285154056700682,79.78162972700214,0.010684233755797901,8188.0,2
yolo11m.pt,10,115W,32,7965.669173177083,36.41212031510875,0.8291838699998758,0.9082034465052625,50.156988717063484,99.66666666666667,44.15189337780732,95.66666666666667,0.04735952392198933,40.56391916018051,0.0,0.8306299999999999,0.0,8200.0,8200.0,8200.0,-3.033188620376278e-15,0.0,24.577685066346323,86.66666666666667,22.756878786086777,78.0,0.027482304806100335,28.43560879469817,21.528075325379834,115.19333333333334,2.5760043529073196,78.23366666666665,0.025657635258465535,93.42666666666666,36.412120315108794,15.193,72.711,20.322170445449064,531.5603814284968,2655.0,2436.876778650367,2655.0,0.5490828497557815,292.71488926973814,0.34030634841013646,0.8291838699998758,1.2834354216663388,0.013804598186374568,0.36493915072208566,6.216553009379287,81.0,70.21848579542595,79.0,0.007802050911802,4.967630300852181,60.82508936803563,81.36939810534692,16.089580554166393,54.16715443100279,0.20513165730078295,8188.0,3
yolo11m.pt,10,65W,1,1748.5516616821292,25.28276093028412,0.074832798632832,1.8917193841633206,17.36039855072464,45.0,29.549317177239736,40.0,0.00718632039649775,14.165933878016585,1.0,0.68352,466.0253623188405,8000.0,7843.568951832129,8000.0,0.1936728565114783,363.2474372082996,3.4779637681159423,14.0,7.126157211885795,11.5,0.0015008491999535,3.6306708002051122,4.430271519927535,46.707,1.6500125767216403,28.164,0.0019495066880444,41.7275,25.282760930284134,13.563500000000001,32.9486,5.518312454257679,-59.79111413043472,2497.5,2087.1348062247503,2347.5,-0.02221643927332325,111.69946927916678,0.15603814458247012,0.074832798632832,0.09281461749951625,2.51821735384668e-06,0.011649193439179101,3.7165561594202856,78.0,73.01393938296741,74.5,0.0016145227045536,1.9293530692422483,13.572329224158338,15.469146899845052,1.4972835292053803,13.36554304353442,0.01217241784819105,8188.0,2
yolo11m.pt,10,65W,8,3529.5033569335938,29.35372483628423,0.1353449993750473,0.4966139170307191,48.912781835142084,89.0,38.04753820033956,85.0,0.0559313104839176,36.130128979238854,1.0,0.81302,649.5006029167516,8000.0,7573.517126148705,8000.0,0.7512976371501039,494.53522925249314,26.42457283916911,52.5,20.29493761284933,47.5,0.029844791877296953,19.7950191870093,19.737684737105546,52.943,2.46974806842748,58.457499999999996,0.02197044183559965,72.562,29.353724836284265,14.1045,45.67777499999998,12.630431994259567,36.80098628079986,2490.0,1970.4975139461558,2490.0,0.01916025679531665,303.6572915120723,0.16756737479379696,0.1353449993750473,0.16773741749993853,-0.0001305755175509,0.02268621497043135,5.170483243464609,82.5,74.3077788557415,78.5,0.006003744245149999,2.787113452350923,60.23112843461688,69.12977364245884,7.149123890552036,59.10828762105437,0.014131935686979302,8188.0,2
yolo11m.pt,10,65W,16,4796.8078125,29.30415939393938,0.24834134062500646,0.4548191103528761,48.00386363636363,93.5,37.67785714285715,91.0,0.05979267812652285,38.50980398038975,1.0,0.83499,681.0164141414134,8000.0,7557.142857142857,8000.0,0.859691746155409,496.10255409154934,30.648876262626267,65.5,24.101688311688314,59.5,0.0376829121910891,25.40134786556667,19.810785845959593,52.643,2.8335945785187655,69.16550000000001,0.0246807437764425,83.02850000000001,29.304159393939393,13.863,50.7485,14.475924677582777,22.267518939393995,2497.5,1967.0409090909088,2490.0,0.004414792688685299,324.92741245931245,0.1160909213146846,0.24834134062500646,0.2776114899990716,-0.00042127884845365,0.02889478733428615,4.704981060606059,80.5,74.29474025974025,78.5,0.005776058642314201,2.6955973503627133,65.14729742555954,73.17268452012578,6.263719694300253,64.43206240887253,0.0093482682693416,8188.0,2
yolo11m.pt,10,65W,32,7972.83310546875,29.16056624794779,0.9904943412499962,0.9146064283789817,53.777043027395145,100.0,49.167741084191974,100.0,0.05038166840732105,42.8200223798725,1.0,0.83063,685.9425785482117,8000.0,7650.505294654302,8000.0,0.6362986087702885,468.023597540488,21.88777279058969,77.0,20.434557021079716,67.5,0.02596746120087185,25.275797320046443,16.591932746478882,50.879,2.8569824646113426,69.625,0.01656346737573965,83.601,29.160566247947774,13.975999999999999,49.92175,12.946461907184503,129.5859193623278,2497.5,2079.3035017230723,2490.0,0.07783804073451539,328.02450100957134,0.3394560945047589,0.9904943412499962,1.5829003649997502,0.0065694895544143005,0.45751714377248154,3.947357220244541,79.0,74.13473784357117,78.0,0.00388040135925725,2.3331431431711023,49.19200074417738,66.03806454107077,12.695279593736224,42.98539104518446,0.19943440272619675,8188.0,2
yolo11n.pt,1,115W,1,1125.4124348958333,15.785196714480662,0.05977119322917973,0.9432056948087442,12.35843502507345,33.666666666666664,10.87209146906626,32.666666666666664,0.0403387102814274,13.884352963786775,0.0,0.4819,0.0,8200.0,8200.0,8200.0,-2.0598731848527397e-15,0.0,0.9761610022727866,4.0,1.3765213777818819,4.0,0.0036119928872748335,1.330723572176613,2.0571997877519306,116.92266666666667,1.19775313665377,4.862,0.006401268022174934,18.906000000000002,15.785196714480662,14.043999999999999,18.844333333333335,1.9398540938945559,0.0,2010.0,2010.0,2010.0,2.1984614411570393e-16,0.0,0.5814886012404307,0.05977119322917973,0.07781179833299344,-0.00022131965699614993,0.035133342664390006,2.0156126591978207,58.333333333333336,56.5902272019919,58.0,0.004852999817168299,0.9531892478560716,17.893405252606062,20.352816808005574,2.626301216415823,16.753421971132877,0.0218470835971762,8188.0,3
yolo11n.pt,1,115W,2,1220.8193359375,16.16443813387424,0.0656503031250181,0.5306001316672235,9.284552845528454,34.0,7.626774847870182,34.0,0.0360642958163574,12.839256372658667,0.0,0.55542,0.0,8200.0,8200.0,8200.0,1.094309324172686e-16,0.0,0.845528455284553,5.0,1.843813387423935,5.0,0.003766566231577,1.5159554594491749,1.6705447154471518,115.717,1.291476995804277,6.3050000000000015,0.0071167569434109,20.876,16.16443813387424,14.571,20.5358,2.135086842324192,0.0,2010.0,2010.0,2010.0,1.205094451278682e-15,0.0,0.6141900493543806,0.0656503031250181,0.0852299800001219,-0.0007035013232608,0.0403217629164849,0.3658536585365795,60.0,58.49290060851927,60.0,0.0016353166709763,0.6698750331972745,33.61492368171883,41.318623244991535,6.802501815002222,30.464444256889276,0.040951807349767,8188.0,1
yolo11n.pt,1,115W,4,1362.91015625,16.054798245614013,0.0764250156249843,0.3067470516942557,10.833333333333334,40.0,5.868421052631579,39.0,0.0377568648097267,12.306939390280917,0.0,0.58282,0.0,8200.0,8200.0,8200.0,-2.9423610161625043e-14,0.0,1.956140350877193,9.0,1.9956140350877196,8.0,0.0067723592772539,2.285533848762276,1.775517543859646,117.343,1.421444209442769,8.291000000000002,0.0079433667909885,22.821,16.054798245614037,14.53,22.52375,2.438991775375185,7.894736842105203,2040.0,2012.565789473684,2040.0,0.0184350372649304,8.389899200065376,0.6958097306727322,0.0764250156249843,0.1009194849998948,-0.0020992059567436,0.0531772695386797,1.1666666666666643,60.0,58.8859649122807,60.0,0.0031709048753848,0.6353445249905901,60.3032607456845,76.26256189827217,14.34221108067332,52.33888364024548,0.0565653693885017,8188.0,1
yolo11n.pt,1,115W,8,1572.5481770833333,16.488244539245787,0.09373047500012881,0.19305714960254175,9.601735049269454,44.666666666666664,5.368465103920642,29.0,0.037386013123110066,11.748175446635427,0.0,0.59235,0.0,8200.0,8163.34435521965,8200.0,-0.1875462841379053,167.27459101444893,2.937347802695662,15.333333333333334,2.01219993242534,10.333333333333334,0.011508253832922533,3.908186942563012,4.12686383296523,118.56866666666667,2.0242265027176316,19.032,0.014776480999642266,33.366,16.488244539245787,14.334000000000001,29.70249999999999,4.556891817944635,148.2694104655114,2665.0,2076.418657002834,2665.0,0.49033038512013905,192.36423503832407,0.5377173050407311,0.09373047500012881,0.15267899166658097,-0.0061369220587724335,0.05277252081495947,1.5273955147808376,62.0,57.95534299060515,61.0,0.005573430318312,1.2924132467632272,98.49319029546433,137.6429195155591,24.753466302875996,86.17917941556841,0.06668163936903607,8188.0,3
