eta,max_depth,subsample,colsample_bytree,min_child_weight,reg_lambda,avg_top1,avg_ndcg1,avg_best_iter
0.1,8,1.0,1.0,1.0,5.0,0.7,0.8624801595686048,5
0.1,6,0.8,0.8,5.0,5.0,0.7,0.8406038243430661,4
0.1,8,0.8,0.8,5.0,5.0,0.7,0.8406038243430661,4
0.05,4,0.8,1.0,1.0,1.0,0.6666666666666666,0.9416524216524216,1
0.05,6,0.8,1.0,1.0,5.0,0.6666666666666666,0.9416524216524216,4
0.1,6,0.8,1.0,1.0,5.0,0.6666666666666666,0.9416524216524216,0
0.1,8,0.8,1.0,1.0,5.0,0.6666666666666666,0.9416524216524216,0
0.05,6,0.8,0.8,1.0,5.0,0.6666666666666666,0.9374847374847374,8
0.1,4,0.8,0.8,1.0,5.0,0.6666666666666666,0.9374847374847374,2
0.1,6,0.8,0.8,1.0,5.0,0.6666666666666666,0.9374847374847374,10
0.1,6,1.0,1.0,1.0,1.0,0.6666666666666666,0.9374847374847374,2
0.05,8,1.0,0.8,5.0,1.0,0.6666666666666666,0.916264825871125,0
0.05,6,1.0,0.8,5.0,1.0,0.6666666666666666,0.8870910366973359,7
0.05,6,1.0,1.0,5.0,1.0,0.6666666666666666,0.8870910366973359,3
0.05,8,1.0,1.0,5.0,1.0,0.6666666666666666,0.8870910366973359,3
0.1,4,1.0,0.8,5.0,1.0,0.6666666666666666,0.8870910366973359,1
0.05,4,1.0,0.8,5.0,5.0,0.6666666666666666,0.8690207313829361,1
0.05,6,0.8,1.0,5.0,5.0,0.6666666666666666,0.8624801595686048,1
0.05,8,0.8,1.0,5.0,5.0,0.6666666666666666,0.8624801595686048,1
0.05,8,0.8,1.0,1.0,5.0,0.6666666666666666,0.8424276154508712,0
0.05,4,1.0,1.0,5.0,5.0,0.6666666666666666,0.839846942209147,0
0.1,6,1.0,1.0,5.0,5.0,0.6666666666666666,0.839846942209147,0
0.1,8,1.0,1.0,5.0,5.0,0.6666666666666666,0.839846942209147,0
0.05,8,0.8,1.0,5.0,1.0,0.6666666666666666,0.8382599312831871,3
0.05,4,0.8,0.8,5.0,1.0,0.6666666666666666,0.8071397720554845,7
0.05,6,0.8,0.8,5.0,1.0,0.6666666666666666,0.7902101235556647,1
0.05,8,0.8,0.8,5.0,1.0,0.6666666666666666,0.7902101235556647,1
0.1,4,0.8,0.8,5.0,1.0,0.6666666666666666,0.7595294442766894,0
0.05,6,1.0,0.8,1.0,5.0,0.6333333333333333,0.8996032472685102,0
0.1,6,0.8,1.0,5.0,5.0,0.6333333333333333,0.887481685540649,1
0.1,8,0.8,1.0,5.0,5.0,0.6333333333333333,0.887481685540649,1
0.1,6,0.8,0.8,5.0,1.0,0.6333333333333333,0.7902101235556647,1
0.1,8,0.8,0.8,5.0,1.0,0.6333333333333333,0.7902101235556647,1
0.05,6,1.0,1.0,1.0,5.0,0.6,0.8061952221925285,0
0.1,8,1.0,1.0,5.0,1.0,0.5999999999999999,1.0,3
0.1,4,1.0,1.0,5.0,5.0,0.5999999999999999,0.9666585266585266,2
0.05,8,1.0,0.8,1.0,5.0,0.5333333333333333,0.8996032472685102,1
